I , criminal_triples/case_1.txt , (I, would defer, more encompassing ruling)
a , criminal_triples/case_3.txt , (Texas jury, could impose death penalty, it found and)
abandon , criminal_triples/case_50.txt , (he, abandoned, his apartment)
abatement , criminal_triples/case_4.txt , (abatement, in plea is, s)
abbreviated , criminal_triples/case_53.txt , (Senate Report, described crimes in, abbreviated fashion)
abdicate , criminal_triples/case_60.txt , (I, abdicating, our duty)
abide , criminal_triples/case_21.txt , (they, abide by, due process guarantees)
ability , criminal_triples/case_11.txt , (defendant, has, ability show)
ably , criminal_triples/case_1.txt , (He, has ably discharged, his responsibilities)
abolish , criminal_triples/case_30.txt , (it, abolish, them)
abolition , criminal_triples/case_30.txt , (Court 's abolition, goes Given, safeguards against undue interference in times of war)
abolitionist , criminal_triples/case_60.txt , (recent abolitionist studies, of ream is, superabundant genre)
abortion , criminal_triples/case_61.txt , (laws, prohibiting, abortions)
abound , criminal_triples/case_16.txt , (redundancy, better abounds in, criminal law)
about , criminal_triples/case_1.txt , (Johnson, decided nothing about, Guidelines commentary)
above , criminal_triples/case_15.txt , (only events, is in, above chronology)
abridgement , criminal_triples/case_67.txt , (7 N. Dane, Abridgement of, American Law)
abridgment , criminal_triples/case_21.txt , (3 M. Bacon, Abridgment of, Law 258)
abrogate , criminal_triples/case_31.txt , (United States, abrogated on, grounds)
abruptly , criminal_triples/case_50.txt , (he, abruptly disconnected, all of telephone lines)
absence , criminal_triples/case_2.txt , (we, have observed In, absence of appellate review)
absent , criminal_triples/case_11.txt , (hypothetical trial, played out, absent error)
absolute , criminal_triples/case_11.txt , (defendant, show, probability of result based on purely hypothetical plea offer subject to absolute executive discretion)
absolve , criminal_triples/case_60.txt , (Court, however absolves, State of Oklahoma of duty)
abstract , criminal_triples/case_16.txt , (criminal statute, of, highly abstract general statutory language places)
abstraction , criminal_triples/case_61.txt , (abstraction, presents, serious potential risk)
abuser , criminal_triples/case_20.txt , (abuser, has, age)
abusive , criminal_triples/case_53.txt , (it, modifies, abusive sexual conduct)
accentuate , criminal_triples/case_60.txt , (GABA 's inhibition, is, accentuated)
accept , criminal_triples/case_2.txt , (Martínez, had accepted, bribe within meaning)
acceptability , criminal_triples/case_60.txt , (our judgment, be brought, bear on question of acceptability of death penalty)
acceptance , criminal_triples/case_21.txt , (its judgments, find acceptance Over, long course)
access , criminal_triples/case_17.txt , (defendant, is with, access to mental health expert)
accident , criminal_triples/case_31.txt , (statistics, are staggering, number of deaths caused by motor vehicle accidents has declined over years)
accidental , criminal_triples/case_39.txt , (one, actively employ something in, accidental manner)
accidentally , criminal_triples/case_31.txt , (Petitioner Danny Birchfield, accidentally drove, his car)
accommodate , criminal_triples/case_29.txt , (assigned courtroom, could accommodate, 60)
accommodation , criminal_triples/case_66.txt , (accommodations, are, spacious)
accompany , criminal_triples/case_4.txt , (valid plea, forgoes, accompanying guarantees)
accomplice , criminal_triples/case_40.txt , (his accomplice, beat, their victim)
accomplish , criminal_triples/case_47.txt , (Conspiracy, accomplish, purpose)
accord , criminal_triples/case_1.txt , (firearm, was sawed-off shotgun According to, presentence investigation report)
accordance , criminal_triples/case_32.txt , (Commonwealth 's political power, be, exercised in accordance with their will)
accordingly , criminal_triples/case_1.txt , (judgment, is, accordingly affirmed)
account , criminal_triples/case_2.txt , (effect, taking, account of conviction in our issue-preclusion analysis)
accountable , criminal_triples/case_71.txt , (United States, is, accountable to same extent as private individual)
accountant , criminal_triples/case_16.txt , (his tax accountant, is with, complete)
accounting , criminal_triples/case_63.txt , (Brumfield 's IQ test result, Accounting for, margin)
accrual , criminal_triples/case_15.txt , (Seventh Circuit, should determine, claim 's accrual date)
accrue , criminal_triples/case_15.txt , (such Fourth Amendment claim, accrues on, date of initiation)
accumulate , criminal_triples/case_36.txt , (Congress, will accumulate, general police power)
accusation , criminal_triples/case_27.txt , (likelihood, is seriously undercut by, her false accusations)
accuse , criminal_triples/case_2.txt , (full course, proceedings against, accused)
accuser , criminal_triples/case_40.txt , (Chief Justice Castille, violated Clause, acting as accuser in his case)
achieve , criminal_triples/case_17.txt , (Court, achieves, unfortunate result)
