(February 29 2016, Decided at_time, June 27 2016)
(dangerous loophole, is in, gun control laws)
(33, include, misdemeanor under federal law)
(33, include, misdemeanor under law committed)
(33, include, misdemeanor)
(33, include, misdemeanor committed)
(33, include, misdemeanor under federal law committed)
(33, include, misdemeanor under law)
(33, defines, phrase)
(same, was true of, reckless assault)
(assault, qualifies as, crime)
(Court, left, open)
(Court, held In, Castleman)
(same, was, true)
(same, was true of, assault)
(assault, qualifies as, such crime)
(it, misdemeanor to, intentionally)
(Petitioner Stephen Voisine, pleaded, guilty)
(law enforcement officials, killing, eagle)
(law enforcement officials, later investigated, Voisine)
(he, owned, rifle)
(law enforcement officials, investigated, Voisine)
(law enforcement officials, killing, bald eagle)
(background check, turned up under, § 207)
(Government, charged, him)
(background check, turned up, Voisine 's conviction)
(Government, violating, g)
(Voisine, has, prior conviction)
(Government, violating, § 922)
(background check, turned up, Voisine 's prior conviction)
(Government, violating, 9)
(it, commit, assault prohibited by § 207 against family)
(it, commit, assault)
(Petitioner William Armstrong, pleaded, guilty)
(it, commit, assault prohibited)
(it, commit, assault prohibited by § 207)
(law enforcement officers, searching, Armstrong 's home)
(law enforcement officers, discovered, large quantity)
(law enforcement officers, discovered, quantity of ammunition)
(law enforcement officers, discovered, six guns)
(law enforcement officers, discovered, quantity)
(Armstrong, has, home)
(law enforcement officers, discovered, large quantity of ammunition)
(Armstrong, was also charged under, § 922)
(Armstrong, was also charged under, g)
(Armstrong, was also charged under, 9)
(Armstrong, was, charged)
(Armstrong, was charged under, 9)
(Armstrong, was charged under, § 922)
(Armstrong, was charged under, g)
(Armstrong, was, also charged)
(District Court, rejected, claims)
(petitioner, pleaded, guilty)
(offense, qualify under, 9)
(offense, qualify as, misdemeanor crime)
(offense, qualify under, § 922)
(offense, is with, mens rea of recklessness)
(offense, qualify as, misdemeanor crime of violence)
(offense, qualify under, g)
(First Circuit, affirmed, holding)
(Armstrong, filed, petition)
(their case, was, remanded)
(their case, was remanded in, light of Castleman)
(their case, was remanded for, consideration)
(their case, was remanded for, further consideration)
(Armstrong, filed petition for, certiorari)
(their case, was, remanded for further consideration in light of Castleman)
(Voisine, filed petition for, certiorari)
(Armstrong, filed, joint petition)
(their case, was, remanded for consideration in light)
(Voisine, filed, petition)
(Voisine, filed, joint petition)
(their case, was, remanded for further consideration in light)
(their case, was, remanded for consideration in light of Castleman)
(their case, was remanded in, light)
(First Circuit, upheld, convictions)
(First Circuit, again upheld, convictions)
(First Circuit, upheld, convictions on ground)
(First Circuit, again upheld, convictions on same ground)
(First Circuit, upheld, convictions on same ground)
(First Circuit, again upheld, convictions on ground)
(conclusion, follows from, statutory text)
(conclusion, follows from, text)
(Nothing, is in, phrase use)
(person, have purpose, compared)
(person, have certainty, compared with understanding)
(person, have, practical certainty)
(person, have purpose, compared with understanding)
(it, is, likely)
(person, have certainty, compared)
(person, have, certainty)
(person, have, purpose)
(person, compared with, understanding)
(it, is, substantially likely)
(accidents, use of, force)
(use, excludes, accidents)
(text, prohibiting, petitioners)
(others, is with, similar criminal records)
(relevant text, prohibiting, petitioners)
(Congress, enacted, g)
(Congress, targeting, laws)
(Petitioners ' reading risks, rendering, § 922 inoperative in 35 jurisdictions)
(Petitioners ' reading risks, rendering, § 922 inoperative in 35 jurisdictions with assault laws)
(Petitioners ' reading risks, rendering, § 922 broadly inoperative in 35 jurisdictions with assault laws extending to recklessness)
(Petitioners ' reading risks, rendering, § 922 broadly inoperative in 35 jurisdictions)
(Petitioners ' reading risks, rendering, § 922 inoperative with assault laws extending)
(Petitioners ' reading risks, rendering, § 922 inoperative in 35 jurisdictions with assault laws extending)
(Petitioners ' reading risks, rendering, § 922 inoperative with assault laws)
(Petitioners ' reading risks, rendering, § 922 broadly inoperative with assault laws extending)
(Petitioners ' reading risks, rendering, § 922 inoperative with assault laws extending to recklessness)
(Petitioners ' reading risks, rendering, § 922 broadly inoperative in 35 jurisdictions with assault laws)
(Petitioners ' reading risks, rendering, § 922 broadly inoperative with assault laws extending to recklessness)
(Petitioners ' reading risks, rendering, § 922 inoperative in 35 jurisdictions with assault laws extending to recklessness)
(Petitioners ' reading risks, rendering, § 922 broadly inoperative)
(Petitioners ' reading risks, rendering, § 922 broadly inoperative with assault laws)
(Petitioners ' reading risks, rendering, § 922 broadly inoperative in 35 jurisdictions with assault laws extending)
(Petitioners ' reading risks, rendering, § 922 inoperative)
(Maine, has, law)
(single crime, Assuming, statute)
(crime, Assuming, statute)
(Court, construe, § 921 A)
(Court, construe so, § 921 A)
(Court, declined In, Castleman)
(petitioners ' view, would jeopardize, many)
(petitioners ' view, would jeopardize, § 922 9 's force)
(KENNEDY, joined, ALITO)
(KENNEDY, joined, BREYER)
(KAGAN, delivered, opinion)
(KENNEDY, joined, GINSBURG)
(SOTOMAYOR, joined as to, Parts I)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
