(October 4 2017, Decided at_time, January 22 2018)
(complaint, is in, vacant house)
(police officers, responded to, complaint in house)
(police officers, responded to, complaint)
(police officers, responded to, complaint about music in house)
(police officers, responded to, complaint about loud music in house)
(police officers, responded to, complaint in vacant house)
(police officers, responded to, complaint about music in vacant house)
(police officers, responded to, complaint about loud music)
(police officers, responded to, complaint about loud music in vacant house)
(police officers, responded to, complaint about music)
(they, Inside found, house barren)
(they, found, house barren)
(they, Inside found, house nearly barren)
(they, found, house nearly barren)
(officers, smelled, marijuana)
(officers, observed, beer bottles of liquor)
(officers, observed, beer bottles)
(officers, observed, cups)
(They, found, make-shift strip club in living room)
(They, found, woman)
(They, found, woman in upstairs bedroom)
(They, found, strip club in living room)
(naked woman, is in, upstairs bedroom)
(club, is in, living room)
(They, found, strip club)
(They, found, naked woman in upstairs bedroom)
(They, found, naked woman)
(They, found, make-shift strip club)
(they, saw, officers)
(they, saw, uniformed officers)
(officers, questioned, everyone)
(officers, got, stories)
(officers, got, inconsistent stories)
(Two women, identified, Peaches as house 's tenant)
(Two women, identified, Peaches)
(house, as, tenant)
(officers, spoke by, phone)
(officers, spoke to, Peaches)
(she, was, nervous)
(she, claimed At, first)
(officers, arrested partygoers for, entry)
(officers, arrested partygoers for, unlawful entry)
(officers, arrested, partygoers)
(partygoers, sued for, false arrest)
(Several partygoers, sued for, false arrest Amendment)
(partygoers, sued for, false arrest Fourth Amendment)
(Several partygoers, sued for, false arrest Fourth Amendment)
(partygoers, sued for, false arrest Amendment)
(Several partygoers, sued for, false arrest)
(probable cause, arrest partygoers for, entry)
(probable cause, arrest, partygoers)
(probable cause, arrest partygoers for, unlawful entry)
(probable cause, arrest, partygoers)
(officers, made, entirely reasonable inference)
(officers, made, inference)
(officers, made, reasonable inference)
(condition, allowed, make)
(condition, allowed, officers)
(officers, make, several)
(homeowners, permit, such activities)
(most homeowners, permit, such activities in their homes)
(permit, activities in, their homes)
(homeowners, permit, activities)
(such activities, is in, their homes)
(homeowners, permit, activities in their homes)
(permit, such activities in, their homes)
(most homeowners, permit, activities in their homes)
(most homeowners, permit, such activities)
(most homeowners, permit, activities)
(homeowners, permit, such activities in their homes)
(they, be in, house)
(their lies, suggested, mind)
(their lies, suggested, guilty mind)
(panel majority, follow, two basic principles)
(panel majority, follow, two principles)
(panel majority, follow, two basic principles of law)
(panel majority, follow, two principles of law)
(it, First viewed, fact)
(rather factor, is in, totality of circumstances)
(it, viewed, fact)
(372, at Pringle is, supra)
(244, at Gates is, supra)
(Gates, n., 13)
(officers, are entitled to, immunity)
(officers, are, entitled)
(officers, are entitled to, qualified immunity)
(unlawfulness, was, established)
(unlawfulness, was established at, time)
(officers, are entitled, established)
(unlawfulness, was, clearly established)
(officers, are entitled to, immunity)
(officers, are entitled, established at time)
(officers, are, entitled)
(officers, are entitled to, immunity under 42 U. S. C. § 1983)
(unlawfulness, was clearly established at, time)
(officers, are entitled to, qualified immunity under 42 U. S. C. § 1983)
(officers, are entitled to, qualified immunity)
(principle, be, settled law)
(legal principle, be, settled law)
(officer, has, conduct)
(legal principle, be, law)
(principle, be, law)
(body, is usually necessary In, arrest context)
(body, is, usually necessary)
(body, clearly establish, answer)
(body, is usually necessary In, warrantless arrest context)
(body, is, necessary)
(body, establish answer with respect to, probable cause)
(body, establish, answer)
(body, is necessary In, arrest context)
(body, is necessary In, warrantless arrest context)
(body, clearly establish answer with respect to, probable cause)
(probable cause, arrest, partygoers)
(they, are, entitled)
(they, are entitled, they conclude)
(probable cause, s, present)
(they, are entitled, they reasonably conclude)
(they, are entitled to, immunity)
(they, are entitled to, qualified immunity)
(actual probable cause, arrest, partygoers)
(panel majority, identify, precedent)
(panel majority, identify, single precedent)
(199, at Brosseau is, supra)
(suspect 's bona fide belief, vitiates, probable cause)
(suspect, has, bona fide belief of right enter)
(suspect 's bona fide belief, arrest for, entry)
(suspect 's bona fide belief, arrest for, unlawful entry)
(invitation, is in, case)
(officers, disbelieve, their story)
(officer, looking at, legal landscape)
(officer, looking at, time)
(reasonable officer, looking at, legal landscape)
(reasonable officer, looking at, entire landscape)
(reasonable officer, looking at, entire legal landscape)
(officer, permitting, arrests)
(officer, permitting here, arrests)
(officer, looking at, landscape)
(reasonable officer, permitting, arrests)
(reasonable officer, looking at, landscape)
(officer, looking at, entire landscape)
(reasonable officer, permitting here, arrests)
(officer, looking at, entire legal landscape)
(reasonable officer, looking at, time of arrests)
(reasonable officer, looking at, time)
(officer, looking at, time of arrests)
(suspect, has, guilty state of mind)
(precedents, suggested, opposite)
(several precedents, suggested, opposite)
(Kennedy, joined, Alito)
(Kennedy, joined, Breyer)
(Thomas, delivered, opinion)
(Kennedy, joined, Gorsuch)
(Kennedy, joined, Kagan)
(Sotomayor, filed, opinion concurring)
(Sotomayor, filed opinion concurring in, part)
(Sotomayor, concurring in, judgment)
(Ginsburg, filed opinion concurring in, part)
(Ginsburg, filed opinion concurring in, judgment)
(Ginsburg, filed, opinion concurring)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(Justice Thomas, delivered, opinion of Court)
(Justice Thomas, delivered, opinion)
(case, involves, five its police officers brought)
(case, involves, civil suit)
(case, involves, suit)
(case, involves, suit against District)
(case, involves, civil suit against District)
(case, involves, five of its police officers brought)
(case, involves, suit against District of Columbia)
(case, involves, civil suit against District of Columbia)
(We, reverse on, grounds)
(District, has, Metropolitan Police Department)
(District 's Metropolitan Police Department, received, complaint about music)
(District 's Metropolitan Police Department, complaint about, loud music)
(District 's Metropolitan Police Department, received complaint at, house)
(District 's Metropolitan Police Department, received, complaint about loud music)
(house, is in, Northeast D. C)
(District 's Metropolitan Police Department, received complaint at, house in Northeast D. C)
(District 's Metropolitan Police Department, received, complaint)
(District 's Metropolitan Police Department, complaint about, music)
(caller, told, police)
(house, been, empty)
(officers, arrived at, scene)
(officers, approached, house)
(they, saw, officers knocked on front door)
(man, look out, window)
(officers, knocked on, front door)
(officers, knocked on, door)
(they, saw, officers knocked)
(they, saw, officers knocked on door)
(They, looked like, property)
(inside, was in, disarray)
(house, inside of was, disarray)
(They, looked like, vacant property)
(officers, smelled, marijuana)
(officers, saw, cups)
(officers, saw, beer bottles)
(officers, saw beer bottles on, floor)
(officers, saw, cups of liquor)
(officers, saw cups on, floor)
(floor, was so dirty In, fact)
(floor, was, dirty)
(floor, was dirty In, fact)
(floor, was, so dirty)
(house, had, plumbing)
(house, had, working electricity)
(house, had, electricity)
(habitation, only signs of were, blinds on windows)
(only signs, were, blinds)
(only other signs, were, blinds)
(habitation, signs of were, blinds on windows)
(only signs, were blinds on, windows)
(habitation, other signs of were, blinds)
(other signs, were, blinds)
(habitation, signs of were, blinds)
(habitation, only signs of were, blinds)
(habitation, only other signs of were, blinds)
(other signs, were blinds on, windows)
(only other signs, were blinds on, windows)
(habitation, other signs of were, blinds on windows)
(signs, were, blinds)
(toiletries, is in, bathroom)
(food, is in, refrigerator)
(signs, were blinds on, windows)
(habitation, only other signs of were, blinds on windows)
(officers, found, makeshift strip club)
(officers, found, strip club)
(officers, found strip club In, living room)
(Several women, were wearing, thongs)
(women, were wearing bras with, cash tucked into their garter belts)
(women, were wearing, thongs)
(Several women, were wearing thongs with, cash tucked into their garter belts)
(cash, tucked into, their garter belts)
(Several women, were wearing, only bras)
(Several women, were wearing, bras)
(women, were wearing bras with, cash tucked)
(women, were wearing bras with, cash)
(women, were wearing thongs with, cash tucked into their garter belts)
(women, were wearing, bras)
(Several women, were wearing bras with, cash tucked)
(Several women, were wearing bras with, cash tucked into their garter belts)
(Several women, were wearing thongs with, cash)
(women, were wearing, only bras)
(women, were wearing thongs with, cash)
(Several women, were wearing bras with, cash)
(women, were wearing thongs with, cash tucked)
(Several women, were wearing thongs with, cash tucked)
(women, were giving lap dances, partygoers watched)
(women, were giving, lap dances)
(women, were giving lap dances, other partygoers watched)
(officers, found, debauchery upstairs)
(officers, found, upstairs)
(officers, found, more debauchery upstairs)
(naked woman, were in, bedroom)
(men, were in, bedroom)
(woman, were in, bedroom)
(several men, were in, bedroom)
(bare mattress, was on, floor)
(mattress, was on, floor)
(condom, was on, windowsill)
(used condom, was on, windowsill)
(officers, found, one partygoer hiding)
(total, is in, house)
(Peaches, renting, house)
(officer, asked, woman)
(woman, call Peaches, he could talk)
(woman, call, Peaches)
(woman, call Peaches, he could talk to her)
(he, could talk to, her)
(woman, call Peaches on, her phone)
(she, just left, party)
(she, just left party, go to store)
(she, left party, go)
(she, left party, go to store)
(she, just left party, go)
(she, go to, store)
(she, left, party)
(she, being, arrested)
(she, was afraid, arrested)
(she, was, afraid)
(officer, asked, her)
(Peaches, refused, afraid)
(sergeant, also spoke with, Peaches)
(sergeant, spoke with, Peaches)
(Peaches, claimed At, first)
(Peaches, renting, house)
(Peaches, became, evasive)
(she, had, permission)
(she, hanging up, second time)
