(October 7 2015, Decided at_time, January 20 2016)
(Kansas jury, sentenced, respondent Sidney Gleason)
(Kansas jury, sentenced respondent Sidney Gleason to, death)
(Kansas jury, sentenced respondents Reginald after, sentencing proceeding)
(Kansas jury, sentenced, respondents Reginald)
(Kansas jury, sentenced respondents Reginald to, death)
(Kansas jury, sentenced Jonathan Carr to, death)
(Kansas jury, sentenced Jonathan Carr after, sentencing proceeding)
(Kansas jury, sentenced, Jonathan Carr)
(Kansas jury, sentenced respondents Reginald after, joint sentencing proceeding)
(Kansas jury, sentenced, brothers)
(Kansas jury, sentenced Jonathan Carr after, joint sentencing proceeding)
(Respondents, were, convicted)
(Respondents, were convicted of, charges)
(Respondents, were convicted of, charges stemming)
(Respondents, were convicted of, various charges stemming)
(Respondents, were convicted of, various charges)
(Kansas Supreme Court, vacated death sentences in, case)
(satisfaction, is in, juror 's sentencing decision)
(sentencing instructions, violated, Eighth Amendment)
(sentencing instructions, violated Eighth Amendment, failing)
(juror, in, sentencing decision)
(trial court, by, failure sever)
(Carrs ' Eighth Amendment right, was, violated)
(state court, has, decision)
(Court, lacks jurisdiction, state court 's decision rested on grounds)
(state court 's decision, rested on, adequate grounds)
(Gleason, has, initial argument)
(Court, lacks, jurisdiction)
(Court, lacks jurisdiction, state court 's decision rested)
(state court 's decision, rested on, state-law grounds)
(state court 's decision, rested on, adequate state-law grounds)
(Court, lacks jurisdiction, state court 's decision rested on state-law grounds)
(Court, lacks jurisdiction, state court 's decision rested on adequate grounds)
(Court, lacks jurisdiction, state court 's decision rested on adequate state-law grounds)
(Court, hear, his case)
(state court 's decision, rested on, grounds)
(Court, has, capital-sentencing case law)
(Ambiguity, gives, rise)
(Ambiguity, is in, capital-sentencing instructions)
(Ambiguity, gives only, rise)
(California, v. Boyde is, bar cleared here)
(defense, prove, circumstances beyond doubt)
(record, belies, defendants ' contention)
(it, require, defense)
(it, be, unconstitutional)
(instructions, caused, jurors)
(defense, prove, mitigating circumstances beyond doubt)
(defense, prove, circumstances)
(defense, prove, mitigating circumstances beyond reasonable doubt)
(defense, prove, mitigating circumstances)
(defense, prove, circumstances beyond reasonable doubt)
(circumstances, must, must merely found)
(conclusion, existence of, aggravating circumstances)
(mitigating circumstances, must, must merely found)
(existence, be, proved beyond reasonable doubt)
(instructions, make, clear)
(they, outweigh, circumstances)
(mitigating circumstances, must, must found)
(circumstances, must, must found)
(they, outweigh, mitigating circumstances)
(existence, be, proved)
(conclusion, existence of, circumstances)
(existence, be, proved beyond doubt)
(defendant 's claim, is at, bottom)
(Eighth Amendment, is, inapposite)
(evidence, was, admitted)
(evidence, was, improperly admitted)
(evidence, was improperly admitted at, capital-sentencing proceeding)
(defendant, has, claim)
(evidence, was admitted at, capital-sentencing proceeding)
(jury, has, imposition of death penalty)
(sentencing proceeding, is with, unfairness)
(jury, has, consideration of sentence amount to denial of due process)
(other, of, sentence)
(jury, followed, its instructions)
(jury, give consideration to, defendant)
(defendants ' conduct, arises out of, chain)
(joined defendants ' criminal conduct, arises out of, single chain)
(defendants ' criminal conduct, arises out of, single chain)
(joined defendants ' conduct, arises out of, single chain of events)
(defendants ' criminal conduct, arises out of, chain)
(Joint proceedings, are, permissible)
(defendants ' criminal conduct, arises out of, chain of events)
(joined defendants ' conduct, arises out of, chain of events)
(defendants ' conduct, arises out of, chain of events)
(joined defendants ' conduct, arises out of, chain)
(joined defendants ' criminal conduct, arises out of, single chain of events)
(defendants ' conduct, arises out of, single chain)
(joined defendants ' conduct, arises out of, single chain)
(joined defendants ' criminal conduct, arises out of, chain)
(defendants ' criminal conduct, arises out of, single chain of events)
(defendants ' conduct, arises out of, single chain of events)
(joined defendants ' criminal conduct, arises out of, chain of events)
(those, given in, Carrs proceeding)
(codefendants, from, antagonistic mitigation theories)
(It, is, improper)
(It, vacate, death sentence)
(13-14, at Romano is, supra)
(their acts, were, when described)
(extravagant speculation, would lead to, conclusion)
(their acts, excruciating, detail)
(their acts, were, described)
(SCALIA, delivered, opinion)
(KENNEDY, joined, BREYER)
(KENNEDY, joined, KAGAN)
(KENNEDY, joined, GINSBURG)
(KENNEDY, joined, THOMAS)
(KENNEDY, joined, ALITO)
(SOTOMAYOR, filed, opinion)
(SOTOMAYOR, filed, dissenting opinion)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(JUSTICE SCALIA, delivered, opinion)
(JUSTICE SCALIA, delivered, opinion of Court)
(Supreme Court, vacated, death sentences of Sidney Gleason)
(Supreme Court, vacated, death sentences)
(Gleason, cover up, robbery of man)
(Gleason, cover up, robbery)
(Gleason, cover up, robbery of elderly man)
