(April 29 2015, Decided at_time, June 29 2015)
(capital punishment, is, constitutional)
(punishment, is, constitutional)
(Oklahoma, adopted, injection)
(Oklahoma, adopted injection as, its method of execution)
(it, induce, state of unconsciousness)
(it, induce, state)
(Oklahoma, adopted injection as, its method)
(Oklahoma, adopted, lethal injection)
(553 U. S. 35, is In, Baze)
(Anti-death-penalty advocates, pressured, pharmaceutical companies)
(advocates, pressured, companies)
(Anti-death-penalty advocates, pressured, companies)
(pharmaceutical companies, prevent, sodium thiopental)
(companies, prevent, sodium thiopental)
(companies, prevent sodium thiopental, used)
(pharmaceutical companies, prevent sodium thiopental, used)
(advocates, pressured, pharmaceutical companies)
(companies, prevent sodium thiopental, used in executions)
(pharmaceutical companies, prevent sodium thiopental, used in executions)
(Oklahoma, use, dose)
(Oklahoma, use, dose of midazolam)
(Oklahoma, use dose as, drug in its protocol)
(Oklahoma, use dose as, first drug in its three-drug protocol)
(first drug, is in, its three-drug protocol)
(Oklahoma, use, sedative)
(Oklahoma, use dose as, drug in its three-drug protocol)
(midazolam, of dose is, sedative)
(Oklahoma, use, 500-milligram dose of midazolam)
(Oklahoma, use dose as, first drug)
(Oklahoma, use, 500-milligram dose)
(Oklahoma, use dose as, drug)
(Oklahoma, use dose as, first drug in its protocol)
(District Court, denied motion After, three-day evidentiary hearing)
(District Court, denied motion After, evidentiary hearing)
(District Court, denied motion After, three-day hearing)
(District Court, denied, motion)
(District Court, denied motion After, hearing)
(use, created, risk)
(use, created, demonstrated risk of pain)
(demonstrated risk, use of, midazolam)
(use, created, risk of pain)
(use, created, demonstrated risk of severe pain)
(risk, use of, midazolam)
(use, created, risk of severe pain)
(prisoners, establish, likelihood showing)
(use, created, demonstrated risk)
(Petitioners, establish, likelihood of success on merits of their claim)
(Petitioners, establish, likelihood of success)
(Petitioners, establish, likelihood of success on merits)
(Petitioners, establish, likelihood)
(prisoner, must establish, succeed)
(method, creates, risk of severe pain)
(method, creates, risk of pain)
(method, demonstrated risk of, pain)
(risk, compared to, alternatives)
(risk, compared to, known alternatives)
(method, creates, demonstrated risk of severe pain)
(method, creates, risk)
(method, risk of, pain)
(method, demonstrated risk of, severe pain)
(method, creates, demonstrated risk)
(prisoner, succeed on, Eighth Amendment method-of-execution claim)
(method, risk of, severe pain)
(risk, is, substantial)
(method, creates, demonstrated risk of pain)
(prisoner, must establish, succeed on Eighth Amendment method-of-execution claim)
(61, at Baze is, supra)
(b Petitioners, failed, establish)
(them, using, pentobarbital)
(Oklahoma, execute, them)
(them, using, sodium thiopental)
(their argument, is inconsistent with, opinion)
(their argument, is inconsistent with, controlling opinion)
(their argument, is, inconsistent)
(controlling opinion, is in, Baze)
(Court, with, pre-Baze decision in Hill)
(Court, 's decision is, 547 U. S. 573)
(Court 's pre-Baze decision, is in, Hill)
(Hill, in decision is, 547 U. S. 573)
(they, misread, decision)
(Hill, concerned, question)
(Baze, made on, hand)
(Baze, made on, other hand)
(Baze, made, clear)
(considerations, bear, emphasis)
(Several initial considerations, bear, emphasis)
(Several considerations, bear, emphasis)
(initial considerations, bear, emphasis)
(District Court 's findings, First are reviewed under, error standard)
(District Court 's factual findings, are, First reviewed)
(District Court 's findings, are reviewed under, deferential clear error standard)
(District Court 's findings, First are reviewed under, deferential error standard)
(District Court 's factual findings, First are reviewed under, deferential error standard)
(District Court 's findings, First are reviewed under, clear error standard)
(District Court 's findings, are, First reviewed)
(District Court 's factual findings, are reviewed under, clear error standard)
