(October 5 2016, Decided at_time, February 22 2017)
(Petitioner Duane Buck, was convicted of, capital murder)
(Petitioner Duane Buck, was, convicted of capital murder in Texas court)
(Petitioner Duane Buck, was, convicted)
(Petitioner Duane Buck, was convicted in, Texas court)
(jury, was, permitted)
(jury, impose, death sentence)
(jury, was permitted Under, state law)
(Buck 's attorney, called, Dr. Walter Quijano)
(Buck 's attorney, offer, his opinion)
(Buck 's attorney, called, psychologist)
(Buck, has, attorney)
(Buck 's attorney, offer, his opinion on issue)
(Dr. Quijano, evaluate Buck by, presiding judge)
(Dr. Quijano, prepared, report)
(Dr. Quijano, evaluate, Buck)
(Dr. Quijano, evaluate Buck by, judge)
(Dr. Quijano, had, had appointed)
(Buck, including, race)
(Buck, act violently in, future)
(Dr. Quijano, had considered, determine)
(Buck, act in, future)
(Dr. Quijano, determine, likelihood)
(Buck, was, statistically more likely)
(Buck, was likely, black)
(Buck, be, future danger)
(his report, stated, Dr. Quijano concluded)
(his report, stated, Dr. Quijano ultimately concluded)
(Buck, was statistically more likely, black)
(Buck, was more likely, black)
(Buck, was, likely)
(Buck, was, more likely)
(Buck, was, statistically likely)
(his report, also stated, Dr. Quijano ultimately concluded)
(he, is, black)
(his report, also stated, Dr. Quijano concluded)
(Buck, was, unlikely)
(Buck, was statistically likely, black)
(report, read Race in, relevant part)
(report, read, Race)
(report, read Race in, part)
(Buck 's counsel, knowing, contents)
(Buck 's counsel, called Dr. Quijano, knowing)
(Buck 's counsel, called, Dr. Quijano)
(he, testified, race)
(Buck 's counsel, knowing, contents of report)
(Buck 's counsel, called, knowing)
(Buck, has, counsel)
(Dr. Quijano 's report, was admitted into, evidence at close of his testimony)
(Dr. Quijano 's report, was admitted into, evidence at close)
(Dr. Quijano, has, report)
(Dr. Quijano 's report, was, admitted)
(Dr. Quijano 's report, was admitted into, evidence)
(prosecution, questioned Dr. Quijano about, his conclusions)
(it, relied on, his testimony)
(prosecution, questioned Dr. Quijano during, cross-examination)
(prosecution, questioned Dr. Quijano about, his conclusions on race)
(prosecution, questioned, Dr. Quijano)
(it, relied on, his testimony in summation)
(his testimony, is in, summation)
(expert, reports, admitted into evidence including Dr. Quijano 's)
(expert, admitted into, evidence)
(expert, admitted into, evidence including Dr. Quijano 's)
(expert, reports, admitted)
(expert, reports, admitted into evidence)
(jury, requested During, deliberations)
(jury, returned, sentence of death)
(jury, returned, sentence)
(his attorney 's introduction, violated, his Sixth Amendment right to effective assistance)
(his attorney 's introduction, violated, his Sixth Amendment right to effective assistance of counsel)
(his attorney 's introduction, violated, his Sixth Amendment right)
(his attorney 's introduction, violated, his Sixth Amendment right to assistance of counsel)
(attorney, has, introduction of evidence)
(his attorney 's introduction, violated, his Sixth Amendment right to assistance)
(Buck, raise claim in, his state postconviction proceeding)
(Buck, raise, claim)
(Buck, raise claim in, his first state postconviction proceeding)
(Court, received petition, pending)
(petitioner 's heritage, weighed in, favor of finding of future dangerousness)
(petitioner 's heritage, weighed in, favor)
(Court, received, petition)
(petitioner 's Hispanic heritage, weighed in, favor)
(petitioner 's heritage, weighed in, favor of finding)
(petitioner, has, Hispanic heritage)
(petitioner 's Hispanic heritage, weighed in, favor of finding of future dangerousness)
(proceeding, was, pending)
(Court, received, petition for certiorari)
(Court, received petition in, Saldano)
(petitioner 's Hispanic heritage, weighed in, favor of finding)
(Texas, confessed, error)
(Texas, confessed error on, ground)
(Court, vacated, judgment below)
(Court, vacated, judgment)
(Texas Attorney General, issued, public statement)
(Texas Attorney General, Soon afterward issued, public statement)
(Texas Attorney General, issued, statement)
(Texas Attorney General, afterward issued, public statement)
(Texas Attorney General, afterward issued, statement)
(Texas Attorney General, Soon afterward issued, statement)
(Attorney General, confessed error In, five cases)
(Attorney General, consented to, resentencing)
(Attorney General, confessed error In, other five cases)
(Attorney General, confessed, error)
(Buck, raise claim in, his petition)
(Buck, raise, claim)
(second state habeas, petition, alleging)
(court, dismissed petition as, abuse of writ)
(his attorney, introducing, Dr. Quijano 's testimony)
(state habeas, petition, alleging)
(court, dismissed petition as, abuse of writ on ground)
(his attorney, been, ineffective)
(Dr. Quijano, has, testimony)
(court, dismissed, petition)
(Buck, raise claim in, his first petition)
(court, dismissed petition as, abuse)
(court, dismissed petition as, abuse on ground)
(Buck, sought habeas relief under, 28 U. S. C. § 2254)
(Buck, sought, federal habeas relief)
(Buck, sought, habeas relief)
(Buck 's assistance claim, was, held)
(Buck 's ineffective assistance claim, was held, defaulted under Coleman)
