(April 24 2017, Decided at_time, June 26 2017)
(counsel, has, objection)
(petitioner, In, state capital murder trial)
(trial court, submitted, instruction)
(trial court, overruled, counsel 's objection)
(petitioner 's conviction, were, affirmed)
(petitioner, has, conviction)
(court, denied, relief)
(Petitioner, has, state habeas counsel)
(Petitioner, sought, federal habeas relief)
(Petitioner, sought, habeas relief)
(his state, habeas, counsel 's assistance)
(counsel, has, ineffective assistance)
(his state, habeas, counsel 's ineffective assistance)
(Trevino, apply exclusively to, claims)
(Martinez, apply to, claims)
(Trevino, apply to, claims)
(Martinez, apply exclusively to, ineffective-assistance-of-trial-counsel claims)
(Martinez, apply exclusively to, claims)
(Martinez, apply to, ineffective-assistance-of-trial-counsel claims)
(Trevino, apply exclusively to, ineffective-assistance-of-trial-counsel claims)
(Trevino, apply to, ineffective-assistance-of-trial-counsel claims)
(District Court, denied, relief)
(Fifth Circuit, denied, certificate of appealability)
(Fifth Circuit, denied, certificate)
(Constitution, right to, counsel)
(Court, announced qualification In, Martinez)
(Court, announced, qualification)
(Court, announced, equitable qualification)
(Court, announced, appeal)
(Court, announced appeal In, Martinez)
(Coleman, of, rule)
(Court, announced, direct appeal)
(state law, requires, claim)
(State, has, procedural framework by reason of design)
(Court, clarified in, Trevino)
(State 's framework, makes, it unlikely in case)
(Martinez, has, exception)
(it, unlikely in, case)
(it, unlikely in, typical case)
(State 's framework, makes, it unlikely in typical case)
(State 's procedural framework, makes, it unlikely)
(State 's procedural framework, makes, it unlikely in case)
(State 's framework, makes, it unlikely)
(State 's procedural framework, makes, it unlikely in typical case)
(prisoner, has, state postconviction counsel)
(Court, extend Martinez exception, allow)
(federal court, hear, substantial claim)
(federal court, hear, claim of appellate ineffectiveness)
(federal court, hear, claim of ineffectiveness)
(court, hear, substantial claim of ineffectiveness)
(court, hear, claim)
(court, hear, claim of ineffectiveness)
(federal court, hear, substantial claim of appellate ineffectiveness)
(prisoner 's state postconviction counsel, provides, assistance)
(court, hear, substantial claim of appellate ineffectiveness)
(prisoner 's state postconviction counsel, provides assistance, failing)
(federal court, hear, claim)
(federal court, hear, substantial claim of ineffectiveness)
(Court, extend, Martinez exception)
(prisoner 's state postconviction counsel, provides, ineffective assistance)
(court, hear, claim of appellate ineffectiveness)
(court, hear, substantial claim)
(Martinez, extending exception to, new categories of procedurally defaulted claims)
(he rule, governs in, all)
(Martinez, has, highly circumscribed equitable exception)
(Martinez 's underlying rationale, extending exception to, appellate-ineffectiveness claims)
(Martinez, has, underlying rationale)
(Martinez 's rationale, extending exception to, appellate-ineffectiveness claims)
(trial-ineffectiveness claims, evade, review)
(trial-ineffectiveness claims, completely evade, review)
(Court, expressed, concern)
(his situation, is, analogous)
(it, exercised, particularly right to assistance of trial counsel)
(it, particularly right to, effective assistance of trial counsel)
(defendant, has, trial rights)
(Court, made however, clear)
(it, particularly right to, effective assistance)
(it, exercised, its equitable discretion)
(it, exercised right in, view)
(it, exercised, right to effective assistance)
(it, right to, assistance of trial counsel)
(it, right to, assistance)
(it, particularly right to, assistance)
(Court, made, clear)
(it, exercised, particularly right to effective assistance)
(it, exercised, particularly right)
(it, exercised, its discretion)
(it, exercised, particularly right to effective assistance of trial counsel)
(it, exercised, particularly right to assistance)
(it, exercised, right to assistance of trial counsel)
(it, exercised, right)
(Court, is in, Martinez)
(it, exercised, right to assistance)
(it, exercised, right to effective assistance of trial counsel)
(it, particularly right to, assistance of trial counsel)
(it, right to, effective assistance)
