(February 29 2016, Decided at_time, June 9 2016)
(Petitioner Williams, sentenced to, death)
(Petitioner Williams, was, convicted)
(Petitioner Williams, was convicted of, 1984 murder of Amos Norwood)
(Petitioner Williams, was convicted of, 1984 murder)
(trial prosecutor, has, request seek)
(Williams 's conviction, were, Over next 26 years upheld on appeal)
(Williams 's conviction, were, Over 26 years upheld on direct appeal)
(Williams 's conviction, were, upheld)
(Williams 's conviction, were, Over 26 years upheld)
(Williams 's conviction, were, upheld on appeal)
(Williams 's conviction, were, Over 26 years upheld on appeal)
(Williams 's conviction, were, Over next 26 years upheld on direct appeal)
(Williams 's conviction, were, Over next 26 years upheld)
(Williams 's conviction, were, upheld on direct appeal)
(Williams, has, conviction)
(exculpatory evidence, is in, violation of Brady)
(Williams, filed, exculpatory evidence in violation)
(Williams, filed, evidence)
(Williams, filed, evidence in violation of Brady)
(Williams, filed, petition)
(Williams, filed, exculpatory evidence in violation of Brady)
(prosecutor, obtained, false testimony)
(Pennsylvania, pursuant to, Post Conviction Relief Act)
(Williams, filed, evidence in violation)
(Williams, filed, exculpatory evidence)
(Williams, filed evidence In, 2012)
(Pennsylvania, 's Act is, PCRA)
(Williams, filed petition In, 2012)
(Williams, has, execution)
(PCRA court, ordered, new sentencing hearing)
(trial prosecutor, committed, Brady violations)
(PCRA court, stayed, Williams 's execution)
(PCRA court, ordered, sentencing hearing)
(chief justice, was, former District Attorney Castille)
(justice, was, former District Attorney Castille)
(Williams, filed, response)
(Williams, filed along, response)
(chief justice, denied, Williams 's motion for recusal)
(chief justice, denied, Williams 's motion)
(Williams, has, motion for recusal)
(Williams, has, death sentence)
(State Supreme Court opinion, vacating, PCRA court 's grant of penalty-phase relief)
(He, joined, State Supreme Court opinion)
(He, reinstating, Williams 's death sentence)
(State Supreme Court opinion, vacating, PCRA court 's grant)
(PCRA court, has, grant of penalty-phase relief)
(State Supreme Court opinion, vacating, PCRA court 's grant of relief)
(Chief Justice Castille, retired from, bench)
(Chief Justice Castille, later retired from, bench)
(his subsequent participation, violated, Clause of Amendment)
(his subsequent judicial participation, violated, Due Clause of Fourteenth Amendment)
(his subsequent judicial participation, violated, Process Clause)
(his judicial participation, violated, Clause of Amendment)
(his subsequent participation, violated, Clause)
(his participation, violated, Clause of Fourteenth Amendment)
(his participation, violated, Due Clause)
(Chief Justice Castille 's denial, violated, Process Clause of Fourteenth Amendment)
(Chief Justice Castille 's denial, violated, Process Clause of Amendment)
(his subsequent participation, violated, Due Process Clause of Amendment)
(his subsequent participation, violated, Process Clause of Fourteenth Amendment)
(his judicial participation, violated, Due Process Clause of Fourteenth Amendment)
(his subsequent judicial participation, violated, Process Clause of Fourteenth Amendment)
(Chief Justice Castille 's denial, violated, Clause)
(Chief Justice Castille 's denial, violated, Due Process Clause of Fourteenth Amendment)
(Chief Justice Castille 's denial, violated, Process Clause)
(his subsequent participation, violated, Process Clause)
(his judicial participation, violated, Process Clause)
(his participation, violated, Due Process Clause of Amendment)
(his subsequent participation, violated, Due Clause)
(his judicial participation, violated, Clause of Fourteenth Amendment)
(his subsequent judicial participation, violated, Due Process Clause)
(his subsequent judicial participation, violated, Clause of Amendment)
(Chief Justice Castille 's denial, violated, Due Clause of Amendment)
