(January 14 2015, Decided at_time, June 1 2015)
(Petitioner Moones Mellouli, pleaded, possession to store)
(Petitioner Moones Mellouli, pleaded, possession of drug paraphernalia)
(Petitioner Moones Mellouli, pleaded, possession)
(Petitioner Moones Mellouli, pleaded, possession of drug paraphernalia to store)
(sole paraphernalia Mellouli, was, charged)
(paraphernalia Mellouli, was, charged)
(he, had placed, four orange tablets)
(he, had placed, four unidentified orange tablets)
(him, deported under, 8 U. S. C. § 1227)
(alien, of deportation is, removal)
(Mellouli, has, misdemeanor conviction)
(him, deported under, a)
(Section 802, limits term in, turn)
(Section, limits term in, turn)
(Section 802, limits, term)
(Section, limits, term)
(Kansas, defines substance, drug included on its schedules)
(drug, included on, its schedules)
(Kansas, defines substance, drug included on its own schedules without reference to § 802)
(Kansas, defines substance, drug included on its own schedules)
(drug, included without, reference to § 802)
(drug, included without, reference)
(drug, included on, its own schedules)
(Kansas, defines substance, drug included without reference)
(Kansas, defines substance, drug included)
(Kansas, defines substance, drug included on its schedules without reference to § 802)
(Kansas, defines substance, drug included on its own schedules without reference)
(Kansas, defines, controlled substance)
(Kansas, defines substance, drug included without reference to § 802)
(Kansas, defines substance, drug included on its schedules without reference)
(Kansas, defines, substance)
(Mellouli, of, conviction)
(Board, affirmed, Mellouli 's deportation order)
(Eighth Circuit, denied, his petition for review)
(Mellouli, has, deportation order)
(Eighth Circuit, denied, his petition)
(Mellouli, has, Kansas conviction concealing in sock)
(state conviction, alien removable looks to, statutory definition of offense of conviction)
(state conviction, looks to, statutory definition of offense of conviction)
(state conviction, removable looks to, definition of offense of conviction)
(state conviction, looks to, statutory definition of offense)
(state conviction, alien removable looks to, statutory definition of offense)
(state conviction, alien looks to, definition of offense)
(state conviction, removable looks to, definition)
(state conviction, alien removable looks to, definition of offense of conviction)
(state conviction, alien removable looks to, definition)
(state conviction, alien removable looks to, definition of offense)
(state conviction, alien looks to, definition)
(state conviction, looks to, definition)
(state conviction, removable looks to, statutory definition of offense)
(state conviction, removable looks to, statutory definition)
(state conviction, removable looks to, statutory definition of offense of conviction)
(state conviction, alien looks to, statutory definition of offense of conviction)
(state conviction, removable looks to, definition of offense)
(state conviction, alien looks to, statutory definition of offense)
(state conviction, looks to, definition of offense of conviction)
(state conviction, alien looks to, definition of offense of conviction)
(state conviction, looks to, statutory definition)
(state conviction, alien removable looks to, statutory definition)
(state conviction, alien looks to, statutory definition)
(state conviction, looks to, definition of offense)
(state conviction, triggers removal, crime falls within category of offenses)
(state conviction, triggers removal, by definition underlying crime falls within category of offenses defined)
(crime, falls within, category of offenses)
(state conviction, triggers removal, crime falls within category)
(underlying crime, only falls within, category)
(state conviction, triggers removal, only by definition crime falls within category of removable offenses)
(state conviction, triggers removal, only underlying crime falls)
(state conviction, triggers removal, only by definition underlying crime falls within category)
(state conviction, triggers removal, underlying crime falls within category of removable offenses defined)
