(October 11 2016, Decided at_time, March 6 2017)
(Colorado jury, convicted, petitioner Peña-Rodriguez)
(Colorado jury, convicted, petitioner Peña-Rodriguez of harassment)
(jurors, told defense counsel Following, discharge)
(two jurors, told, defense counsel)
(two jurors, told defense counsel Following, discharge)
(jurors, told defense counsel Following, discharge of jury)
(jurors, told, defense counsel)
(two jurors, told defense counsel Following, discharge of jury)
(petitioner, has, alibi witness)
(Counsel, is with, trial court 's supervision)
(Counsel, obtained, affidavits)
(trial court, with, supervision)
(Counsel, obtained affidavits from, two jurors)
(H. C., has, apparent bias)
(court, denied, petitioner 's motion)
(court, denied, petitioner 's motion for trial on ground)
(petitioner, has, motion for new trial on ground)
(court, denied, petitioner 's motion for new trial on ground)
(court, acknowledged, H. C. 's apparent bias)
(court, denied, petitioner 's motion for trial)
(court, denied, petitioner 's motion for new trial)
(H. C., has, alleged statements)
(Colorado Supreme Court, also affirmed, relying on Tanner States)
(Colorado Supreme Court, affirmed, relying on Tanner States)
(Colorado Supreme Court, affirmed, relying)
(Colorado Supreme Court, also affirmed, relying)
(Colorado Supreme Court, relying on, Tanner States)
(no-impeachment rule, permit, trial court)
(he, relied on, stereotypes)
(juror, makes, clear statement)
(no-impeachment rule, give, way)
(juror, makes, statement)
(juror, makes, statement indicating)
(he, relied on, racial stereotypes)
(trial court, consider, evidence)
(juror, of, statement)
(juror, makes, clear statement indicating)
(law jurors, impeach, their verdict)
(common law jurors, were forbidden by, affidavit)
(law jurors, were forbidden by, affidavit)
(law jurors, were, forbidden)
(common law jurors, impeach, their verdict)
(common law jurors, were, forbidden)
(alternative approach, permitted, exception only for events)
(alternative approach, permitted, exception for events extraneous to process)
(permitted, exception for, events extraneous)
(approach, referred to, to federal approach)
(alternative approach, later referred to, to approach)
(approach, permitted, exception for events extraneous to deliberative process)
(permitted, exception for, events)
(approach, permitted, exception only for events)
(alternative approach, permitted, exception)
(permitted, exception for, only events)
(permitted, exception for, events extraneous to process)
(approach, permitted, exception for events)
(approach, permitted, exception only for events extraneous to deliberative process)
(permitted, exception for, only events extraneous to deliberative process)
(alternative approach, referred to, to approach)
(permitted, exception for, only events extraneous)
(alternative approach, referred to, to federal approach)
(approach, later referred to, to federal approach)
(alternative approach, permitted, exception for events extraneous)
(alternative approach, permitted, exception only for events extraneous to process)
(approach, permitted, exception for events extraneous)
(approach, permitted, exception only for events extraneous)
(alternative approach, permitted, exception for events)
(approach, referred to, to approach)
(alternative approach, permitted, exception for events extraneous to deliberative process)
(approach, later referred to, to approach)
(approach, permitted, exception only for events extraneous to process)
(approach, permitted, exception for events extraneous to process)
(approach, permitted, exception)
(permitted, exception for, events extraneous to deliberative process)
(alternative approach, permitted, exception only for events extraneous to deliberative process)
(permitted, exception for, only events extraneous to process)
(alternative approach, later referred to, to federal approach)
(alternative approach, permitted, exception only for events extraneous)
(Court, has, early decisions)
(approach, is in, McDonald)
(common-law development, reached, milestone)
(common-law development, reached milestone in, 1975)
(Congress, adopted, Federal Rule)
(they, being, discharged)
(version, has, substantial merit)
(version, has, merit)
(rule, gives, stability)
(rule, gives, finality)
