(October 13 2015, Decided at_time, January 12 2016)
(capital felon, may receive on, basis of conviction alone)
(capital felon, may receive on, basis of conviction)
(capital felon, may receive on, basis)
(He, be, may sentenced to death)
(proceeding results, is in, findings by court)
(He, be, may sentenced)
(sentencing judge, first conducts hearing In, proceeding)
(sentencing judge, conducts, evidentiary hearing)
(sentencing judge, first conducts, hearing)
(sentencing judge, conducts, hearing)
(sentencing judge, conducts hearing before, jury)
(sentencing judge, first conducts, evidentiary hearing)
(sentencing judge, conducts hearing In, proceeding)
(sentencing judge, first conducts hearing before, jury)
(jury, Next renders, sentence)
(jury, Next renders sentence by, majority vote)
(jury, Next renders, advisory sentence)
(jury, renders, sentence)
(jury, renders, advisory sentence)
(jury, renders sentence by, majority vote)
(court, must independently find, aggravating circumstances)
(court, must independently find circumstances Notwithstanding, recommendation)
(court, must find, aggravating circumstances)
(court, entering, sentence)
(court, must independently find, circumstances)
(court, must find, circumstances)
(court, must find circumstances Notwithstanding, recommendation)
(court, entering, sentence of life)
(he, was granted, sentencing hearing)
(he, was granted, sentencing hearing on appeal)
(court, sentenced Hurst to, death)
(he, was granted, new sentencing hearing on appeal)
(he, was granted, new sentencing hearing)
(court, sentenced, Hurst)
(judge, again found, facts)
(judge, again found, facts necessary)
(jury, again recommended, death)
(jury, recommended death At, resentencing)
(judge, found, facts necessary)
(jury, again recommended death At, resentencing)
(jury, recommended, death)
(judge, found, facts)
(his sentence, violated Sixth Amendment in, light)
(Hurst, has, argument)
(his sentence, violated, Sixth Amendment)
(his sentence, violated Sixth Amendment in, light of Ring)
(Florida 's capital sentencing scheme, violates Sixth Amendment in, light)
(Florida 's capital sentencing scheme, violates Sixth Amendment in, light of Ring)
(Florida, has, capital sentencing scheme)
(Florida 's capital sentencing scheme, violates, Sixth Amendment)
(Ring Court, Applying, Apprendi)
(Ring Court, had, little difficulty)
(Arizona judge 's factfinding, exposed, Ring)
(Arizona judge 's factfinding, exposed Ring to, punishment greater than jury 's guilty verdict authorized)
(Ring Court, had, difficulty concluding)
(Arizona judge 's factfinding, exposed Ring to, punishment greater)
(Arizona judge 's factfinding, exposed Ring to, punishment greater than jury 's verdict authorized)
(Ring Court, Applying Apprendi to, capital punishment context)
(Arizona judge 's independent factfinding, exposed Ring to, punishment greater)
(Arizona judge, has, independent factfinding)
(Ring Court, had, difficulty)
(Arizona judge 's independent factfinding, exposed, Ring)
(Arizona judge 's factfinding, exposed Ring to, punishment)
(Arizona judge 's factfinding, exposed Ring to, punishment greater than jury 's verdict)
(Arizona judge 's independent factfinding, exposed Ring to, punishment greater than jury 's guilty verdict)
(Arizona judge 's independent factfinding, exposed Ring to, punishment greater than jury 's verdict authorized)
(Arizona judge 's factfinding, exposed Ring to, punishment greater than jury 's guilty verdict)
