(March 30 2015, Decided at_time, June 18 2015)
(Eighth Amendment, execution of, disabled)
(Eighth Amendment, prohibits, execution of disabled)
(Eighth Amendment, prohibits, execution)
(Eighth Amendment, execution of, Atkins)
(Petitioner Kevan Brumfield, was convicted in, Louisiana court)
(Eighth Amendment, execution of, intellectually disabled)
(Eighth Amendment, prohibits, execution of intellectually disabled)
(Petitioner Kevan Brumfield, sentenced, Court held)
(Petitioner Kevan Brumfield, was convicted of, murder)
(Petitioner Kevan Brumfield, sentenced to, death)
(Eighth Amendment, execution of, 536 U. S. 304)
(Petitioner Kevan Brumfield, was, convicted of murder in Louisiana court)
(Petitioner Kevan Brumfield, was, convicted)
(evidentiary hearing, is, required)
(hearing, is, required)
(defendant, provide, s objective factors believe)
(significant impairment, is in, several areas of adaptive skills)
(defendant, provide, s factors sufficient believe)
(neuro-psychological disorder, is in, developmental stage)
(defendant, provide, s factors believe)
(Brumfield, amended, his state postconviction petition)
(Brumfield, amended, his pending state postconviction petition)
(Brumfield, raise, Atkins claim)
(he, Seeking, evidentiary hearing)
(he, IQ of, 75)
(medications, treated at, hospitals)
(numerous medications, been, identified)
(numerous medications, treated at, hospitals)
(medications, been placed in, education classes)
(he, had, IQ of 75)
(medications, been, placed)
(medications, treated as, child)
(he, had, IQ)
(medications, been, identified)
(numerous medications, been placed in, special education classes)
(numerous medications, been, placed)
(medications, treated at, psychiatric hospitals)
(numerous medications, treated at, psychiatric hospitals)
(medications, been placed in, special education classes)
(he, Seeking, hearing)
(numerous medications, treated as, child)
(numerous medications, been placed in, education classes)
(Brumfield, has, petition)
(trial court, dismissed, Brumfield 's petition)
(hearing, granting, funds)
(trial court, holding, hearing)
(Brumfield, sought, habeas relief)
(Brumfield, sought, federal habeas relief)
(Brumfield, subsequently sought, federal habeas relief)
(Brumfield, subsequently sought, habeas relief)
(state court, has, rejection of claim)
(Brumfield, of, claim)
(unreasonable determination, is in, light of evidence presented)
(state court 's rejection, involved application, determined)
(state court 's rejection, was, contrary)
(state court 's rejection, involved, application of Federal law)
(state court 's rejection, involved, application)
(state court 's rejection, involved application, determined by Court)
(Brumfield, was, disabled)
(court, went on, determine)
(Brumfield, was, intellectually disabled)
(Brumfield, has, petition)
(Brumfield 's petition, satisfy, either)
(his Atkins claim, considered in, federal court)
(his Atkins claim, considered on, merits)
(he, was entitled, have)
(he, was, entitled)
(his Atkins claim, considered in, court)
(standard, is, satisfied)
(Expert trial testimony, is, entirely consistent)
(Expert trial testimony, is entirely consistent with, disability)
(Expert trial testimony, is entirely consistent with, intellectual disability)
(Brumfield, scored, 75)
(Expert trial testimony, is consistent with, intellectual disability)
(Expert trial testimony, is consistent with, disability)
(Expert trial testimony, is, consistent)
(IQ score, has, margin)
(IQ score, has, margin of error)
(Brumfield, possessed, intelligence)
(Brumfield, possessed, subaverage intelligence)
(record, contains, sufficient evidence suggest)
(Brumfield, criteria for, impairment)
(Brumfield, meet, criteria)
(record, contains, evidence suggest)
(Brumfield, meet, criteria for adaptive impairment)
(Brumfield, meet, criteria for impairment)
(state-court record, contains, sufficient evidence suggest)
(Brumfield, criteria for, adaptive impairment)
(state-court record, contains, evidence suggest)
(individual, must show, substantial functional limitation in three of six areas)
(individual, must show limitation Under, test favorable)
(individual, must show, substantial limitation in three of six areas of major life activity)
(individual, must show, substantial limitation)
(individual, must show, substantial limitation in three of six areas)
(individual, must show, limitation in three of six areas of major life activity)
(individual, must show, functional limitation in three of six areas of major life activity)
(individual, must show, substantial functional limitation)
(individual, must show limitation Under, test most favorable to State)
(individual, must show, substantial functional limitation in three of six areas of major life activity)
(individual, must show, substantial functional limitation in three of six areas of life activity)
(individual, must show limitation Under, test most favorable)
(individual, must show limitation Under, test)
(individual, must show, limitation in three of six areas)
(individual, must show, functional limitation in three of six areas)
(individual, must show, substantial limitation in three of six areas of life activity)
(individual, must show limitation Under, test favorable to State)
(individual, must show, functional limitation in three of six areas of life activity)
(individual, must show, functional limitation)
(individual, must show, limitation in three of six areas of life activity)
(individual, must show, limitation)
(substantial functional limitation, is in, three of six areas of major life activity)
(he, well had, deficits)
(he, had, deficits)
(he, well had, significant deficits)
(he, had, significant deficits)
(Brumfield 's trial, occurred before, Atkins)
(Brumfield, has, intellectual disability)
(Brumfield, has, trial)
(State 's additional arguments, are, rejected)
(State, has, two additional arguments)
(State 's two additional arguments, are, rejected)
(Brumfield, produce, evidence)
(he, meet, manifestations)
(Brumfield, produce, evidence suggesting)
(evidence, creating doubt, Brumfield 's disability manifested)
(Brumfield, has, disability)
(state court record, contained evidence In, event)
(evidence, creating doubt, Brumfield 's disability manifested before adulthood)
(Brumfield 's disability, manifested before, adulthood)
(ample evidence, creating, reasonable doubt)
(evidence, creating, doubt)
(ample evidence, creating, doubt)
(evidence, creating, reasonable doubt)
(ample evidence, creating doubt, Brumfield 's disability manifested before adulthood)
(ample evidence, creating doubt, Brumfield 's disability manifested)
(SOTOMAYOR, delivered, opinion)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(JUSTICE SOTOMAYOR, delivered, opinion)
(JUSTICE SOTOMAYOR, delivered, opinion of Court)
(Eighth Amendment, has, prohibition)
(he, was disabled in, state court)
(he, was intellectually disabled in, state court)
(he, was, disabled)
(Atkins, was, decided)
(petitioner, requested, opportunity prove)
(he, was, intellectually disabled)
(petitioner, has, claim)
(state court, affording, evidentiary hearing)
(him, granting, him)
(him, granting, funding)
(state court, rejected, petitioner 's claim)
(state court, affording, hearing)
(state court, affording, him)
(unreasonable determination, is in, light of evidence presented)
(his Atkins claim, considered in, federal court)
(Petitioner, was entitled, have)
(his Atkins claim, considered on, merits)
(Petitioner, was, entitled)
(his Atkins claim, considered in, court)
(Petitioner, was, therefore entitled)
(Petitioner, was therefore entitled, have)
(Petitioner Kevan Brumfield, was, sentenced)
(Petitioner Kevan Brumfield, was sentenced for, 1993 murder of Baton Rouge police officer Betty Smothers)
(Petitioner Kevan Brumfield, was sentenced for, 1993 murder of off-duty Baton Rouge police officer Betty Smothers)
(Petitioner Kevan Brumfield, was, sentenced to death for 1993 murder of off-duty Baton Rouge police officer Betty Smothers)
(Petitioner Kevan Brumfield, was, sentenced to death for 1993 murder)
(Petitioner Kevan Brumfield, was sentenced to, death)
(Petitioner Kevan Brumfield, was, sentenced to death for 1993 murder of Baton Rouge police officer Betty Smothers)
(Petitioner Kevan Brumfield, was sentenced for, 1993 murder)
(she, was escorting manager to, bank)
(she, was escorting, manager of grocery store)
(she, was escorting, manager)
(she, manager of, grocery store)
(Court 's precedent, permitted, imposition of death penalty)
(Court 's precedent, imposition of, death penalty)
(Court 's precedent, permitted, imposition of death penalty on persons)
(Court 's precedent, imposition on, persons)
(Court 's precedent, permitted, imposition)
(Brumfield, of, trial)
(Court 's precedent, permitted imposition At, time of Brumfield 's trial)
(Court, has, precedent)
(Court 's precedent, imposition on, disabled persons)
(Court 's precedent, permitted, imposition on persons)
