(April 19 2017, Decided at_time, June 22 2017)
(petitioner, was, When tried in Massachusetts trial court)
(petitioner, was tried in, Massachusetts trial court)
(petitioner, was, tried)
(petitioner, was, When tried)
(Defense counsel, raised, issue)
(Defense counsel, raised issue on, review)
(Defense counsel, objected at, trial)
(Defense counsel, raised issue on, direct review)
(Defense counsel, objected to, closure)
(Petitioner, was, convicted)
(Petitioner, was convicted of, murder)
(motion, arguing as, relevant)
(his attorney, failing, object)
(he, filed motion for, trial)
(he, filed motion for, new trial)
(his attorney, provided, ineffective assistance)
(he, later filed, motion)
(his attorney, failing, object to courtroom closure)
(motion, arguing as, relevant here)
(new trial, is in, state court)
(he, later filed motion for, new trial in state court)
(he, filed, motion)
(he, filed motion for, trial in state court)
(he, filed motion for, new trial in state court)
(he, later filed motion for, trial)
(his attorney, provided, assistance)
(he, later filed motion for, new trial)
(he, later filed motion for, trial in state court)
(his attorney, provided assistance, failing)
(Massachusetts Supreme Judicial Court, affirmed in, part)
(Massachusetts Supreme Judicial Court, affirmed in, relevant part)
(right, violation of was, error)
(violation, was, structural)
(petitioner, has, ineffective-assistance claim)
(violation, was, error)
(right, violation of was, structural error)
(violation, was, structural error)
(prejudice, secure, new trial)
(prejudice, secure, trial)
(case, requires, examination of proper application)
(case, requires, examination)
(case, requires, examination of application of doctrines)
(case, requires, examination of application of doctrines of error)
(case, requires, examination of proper application of doctrines)
(case, requires, examination of application)
(case, requires, examination of proper application of doctrines of error)
(case, requires, examination of proper application of doctrines of structural error)
(case, requires, examination of application of doctrines of structural error)
(error, is, deemed)
(They, are, intertwined)
(error, is deemed, structural)
(structural error, is, when objected)
(error, raised on, direct review)
(structural error, raised on, review)
(structural error, raised on, direct review)
(structural error, is, objected)
(error, is, when objected to)
(error, is, when objected)
(defendant, is, entitled to relief without inquiry into harm)
(error, is, objected)
(defendant, is entitled without, inquiry into harm)
(structural error, is, when objected to)
(defendant, Thus is entitled without, inquiry into harm)
(error, raised on, review)
(structural error, is, objected to)
(error, is, objected to)
(defendant, is, Thus entitled to relief without inquiry into harm)
(defendant, like, right conduct)
(right, protects, interest)
(defendant, right at, issue)
(right, instead protects, interest)
(right, instead protects, other interest)
(right, protects, other interest)
(error 's effects, are, when simply too hard)
(error, was, harmless)
(error 's effects, are, simply hard)
(error, has, effects)
(error 's effects, are, when too hard)
(error 's effects, are, simply too hard)
(error, was harmless beyond, doubt)
(24, at Chapman is, supra)
(error, was harmless beyond, reasonable doubt)
(error 's effects, are, when simply hard)
(error 's effects, are, hard)
(error 's effects, are, when hard)
(error 's effects, are, too hard)
(errors, Finally result in, unfairness)
(errors, Finally always result in, unfairness see Gideon 343-345)
(errors, Finally result in, fundamental unfairness)
(errors, result in, fundamental unfairness see)
(errors, result in, fundamental unfairness see Gideon 343-345)
(errors, Finally result in, fundamental unfairness see Gideon 343-345)
(errors, always result in, unfairness see Gideon 343-345)
(errors, Finally result in, unfairness see)
(errors, always result in, fundamental unfairness see Gideon 343-345)
(errors, Finally always result in, fundamental unfairness see)
(errors, always result in, unfairness see)
(errors, result in, unfairness)
(errors, Finally result in, fundamental unfairness see)
(errors, Finally always result in, fundamental unfairness see Gideon 343-345)
(errors, Finally always result in, unfairness see)
(errors, result in, unfairness see Gideon 343-345)
(errors, Finally result in, unfairness see Gideon 343-345)
(errors, Finally always result in, unfairness)
(errors, result in, fundamental unfairness)
(errors, always result in, fundamental unfairness see)
(errors, result in, unfairness see)
(errors, always result in, fundamental unfairness)
(errors, always result in, unfairness)
(errors, Finally always result in, fundamental unfairness)
(point, is For, purposes of case)
(critical point, is For, purposes)
(point, is For, purposes)
(critical point, is For, purposes of case)
(violation, counts, structural error)
(violation, counts, as error)
(public-trial violation, counts, structural error)
(public-trial violation, counts, as structural error)
(violation, counts, as structural error)
(violation, counts, error)
(public-trial violation, counts, as error)
(public-trial violation, counts, error)
(it, is, justified)
(courtroom closure, is, avoided)
(courtroom closure, be, avoided)
(it, is, when justified)
(Court, has, opinions)
(public-trial right, is subject to, exceptions)
(right, is, subject)
(public-trial right, is, subject)
(right, is subject to, exceptions)
(149, at Gonzalez-Lopez is, supra)
(public-trial right, furthers, interests other)
(right, furthers, interests other)
(right, furthers, interests)
(public-trial right, also furthers, interests other)
(right, also furthers, interests other)
(public-trial right, furthers, interests)
(right, also furthers, interests)
(public-trial right, also furthers, interests)
(defendant, from, standpoint)
(trial, will, will still fair from defendant 's standpoint)
(trial, will, yet will still fundamentally fair from defendant 's standpoint)
(unlawful closure, Thus could take, place)
(trial, will, yet will still fundamentally fair)
(trial, will, will still fair)
(trial, will, will still fundamentally fair)
(trial, will, yet will still fair from defendant 's standpoint)
(trial, will, yet will fundamentally fair from defendant 's standpoint)
(unlawful closure, could take, place)
(closure, could take, place)
(trial, will, yet will fair)
(trial, will, will fair)
(trial, will, will still fundamentally fair from defendant 's standpoint)
(trial, will, yet will fundamentally fair)
(trial, will, yet will fair from defendant 's standpoint)
(trial, will, will fair from defendant 's standpoint)
(trial, will, yet will still fair)
(trial, will, will fundamentally fair from defendant 's standpoint)
(closure, Thus could take, place)
(trial, will, will fundamentally fair)
(objection, was, raised)
(objection, was, when raised)
(defendant, generally is entitled to, automatic reversal)
(defendant, is entitled to, reversal)
(defendant, generally is entitled to, reversal)
(defendant, generally is entitled, made)
(issue, is raised on, direct appeal)
(defendant, is entitled, made at trial)
(error, regardless of, actual effect on outcome)
(defendant, is entitled to, automatic reversal)
(defendant, is, generally entitled)
(objection, is made at, trial)
(defendant, generally is entitled, made at trial)
(defendant, is, entitled)
(defendant, is entitled, made)
(objection, is, made)
(issue, is, raised)
(issue, is raised on, appeal)
(attorney, has, error)
(attorney 's error, prejudiced, defense)
(defendant, show, performance)
(defendant, raises later, it)
(defendant, show, deficient performance)
(defendant, raises, it)
(prejudice, is in, most cases)
(defendant, must show, probability)
(defendant, must show, reasonable probability)
(defendant, demonstrate, prejudice in most cases)
(defendant, demonstrate, prejudice in cases)
(result, been, would have different)
(Court, will assume For, purposes)
(Court, will assume, petitioner has requested)
(Court, will assume For, purposes of case)
(Court, will assume For, analytical purposes of case)
(Court, will assume For, analytical purposes)
(defendant, Thus must show, probability of outcome in his case)
(defendant, must show, probability)
(defendant, must show, probability of outcome in his case)
(different outcome, is in, case)
(defendant, Thus must show, probability of outcome)
(defendant, Thus must show, probability)
(defendant, must show, probability of outcome)
(holding, see, Louisiana)
(261-264, at Vasquez is, 474 U. S.)
(Court, has, precedents deeming)
(holding, see, Sullivan)
(holding, see Sullivan at, 278-279)
(holding, see Louisiana at, 278-279)
(holding, see, 508 U. S.)
(claims, is in, selection)
(those, granting, automatic relief)
(those, granting, relief)
(errors, is in, each of cases)
(errors, raised on, direct appeal)
(errors, raised on, appeal)
(errors, were, preserved)
(defendant, raises closure in, claim)
(defendant, first raises, closure)
(defendant, first raises closure in, claim)
(defendant, objects to, courtroom closure)
(defendant, raises closure in, ineffective-assistance claim)
(courtroom, opened, reasons keeping)
(defendant, raises, closure)
(defendant, first raises closure in, ineffective-assistance claim)
(uncertainties, are also greater, more time will have elapsed in most cases)
(uncertainties, are also greater, time will have elapsed in cases)
(costs, are greater, more time will have elapsed in cases)
(uncertainties, are, greater)
(uncertainties, are greater, more time will have elapsed in most cases)
(uncertainties, are greater, more time will have elapsed in cases)
(uncertainties, are also greater, more time will have elapsed in cases)
(costs, are also greater, time will have elapsed in cases)
(costs, are, also greater)
(costs, are also greater, more time will have elapsed in cases)
(uncertainties, are also greater, time will have elapsed in most cases)
(uncertainties, are greater, time will have elapsed in cases)
(uncertainties, are greater, time will have elapsed in most cases)
(costs, are also greater, time will have elapsed in most cases)
(costs, are greater, time will have elapsed in cases)
(costs, are greater, time will have elapsed in most cases)
(costs, are also greater, more time will have elapsed in most cases)
(costs, are, greater)
(uncertainties, are, also greater)
(costs, are greater, more time will have elapsed in most cases)
(finality interest, is at, risk)
(finality interest, is at, more risk)
(it, is raised on, review)
(structural error, depending, raised on direct review in ineffective-assistance claim)
(error, depending, raised)
(it, is, raised on review in claim)
(structural error, depending, raised on review)
(structural error, depending, raised on review in claim)
(structural error, depending, raised)
(structural error, depending, raised in claim)
(it, is, raised on review in ineffective-assistance claim)
(error, depending, raised on review in ineffective-assistance claim)
(error, depending, raised on review in claim)
(error, depending, raised in claim)
(structural error, depending, raised on direct review in claim)
(it, is, raised on direct review in claim)
(structural error, depending, raised on review in ineffective-assistance claim)
(error, depending, raised in ineffective-assistance claim)
